Crop_Type,Soil_Type,Soil_pH,Soil_Organic_Carbon,Total_Nitrogen,Available_Phosphorus,Available_Potassium,Bulk_Density,Rainfall,Temperature,Humidity,Wind_Speed,Evapotranspiration,Soil_Moisture_Level,Growth_Stage,Fertilizer_Type,Application_Rate,Application_Method,Coating_Type,Irrigation_Type,Water_Amount,Total_Fertilizer_Loss_kg_ha,Fertilizer_Loss_Percentage,Nitrogen_Loss,Phosphorus_Loss,Potassium_Loss
Citrus,Sandy,7.06,2.46,222.8,44.3,314.76,1.53,57.07,37.47,51.49,4,4.93,Low,Initial,Urea,195.45,Broadcast,Normal,Flood,51.16,53.91,27.58,26.96,16.17,10.78
Vegetable,Sandy,8.39,1.3,139.22,48.79,170.3,1.35,76.07,29.77,78.3,5.21,2.41,High,Initial,NK,125.4,Broadcast,Controlled_Release,Flood,12.02,51.33,40.93,25.66,15.4,10.27
Corn,Loamy,6.35,1.13,144.2,13.77,325.65,1.15,56.57,28.47,78.38,3.68,7.72,High,Mid,Organic,194.3,Broadcast,Controlled_Release,Drip,41.37,59.63,30.69,29.82,17.89,11.93
Vegetable,Loamy,7.78,1.34,77.47,46.86,335.65,1.56,49.52,29.88,92.83,3.1,7.31,High,Initial,NK,137.36,Broadcast,Biochar,Sprinkler,19.51,45.56,33.17,22.78,13.67,9.11
Vegetable,Sandy,7.22,0.73,296.02,33.51,396.88,1.29,76.41,33.82,86.95,4.2,5.62,Low,Late,Organic,122.45,Foliar,Biochar,Flood,48.33,51.32,41.91,25.66,15.4,10.26
Wheat,Loamy,7.6,0.89,203.06,55.52,201.31,1.39,106.58,15.35,86.62,5.8,4.92,High,Late,Organic,172.83,Broadcast,Normal,Drip,17.62,67.72,39.18,33.86,20.32,13.54
Corn,Sandy,6.75,1.52,182.58,55.05,216.53,1.57,79.52,29.59,89.61,2.62,5.48,Low,Initial,Urea,109.16,Broadcast,Controlled_Release,Flood,75.9,46.41,42.52,23.2,13.92,9.28
Corn,Loamy,6.34,2.1,102.84,59.79,324.01,1.25,74.89,36.42,74.37,5.78,6.82,High,Initial,Urea,191.93,Foliar,Normal,Flood,54.11,62.79,32.72,31.4,18.84,12.56
Corn,Clay,7.14,2.25,172.01,37.94,353.79,1.19,89.41,24.19,66.28,5.1,5.85,High,Mid,PK,146.29,Foliar,Normal,Flood,38.66,55.64,38.03,27.82,16.69,11.13
Vegetable,Sandy,6.62,2.23,161.83,17.34,226.83,1.53,48.48,19.91,42.63,3.05,2.58,Medium,Mid,PK,71.79,Broadcast,Controlled_Release,Drip,68.84,28.79,40.1,14.4,8.64,5.76
